model,scen,oos_cost,networkconfig
Mcc,64,221241.2738,acongested
Mcc,65,221455.2999,acongested
Mcc,66,220765.2541,acongested
Mcc,67,223579.0431,acongested
Mcc,68,225101.2169,acongested
Mcc,69,218375.4144,acongested
Mcc,70,216978.0855,acongested
Mcc,71,219369.1242,acongested
Mcc,72,221928.76,acongested
Mcc,73,220352.4956,acongested
Mcc,74,222368.6525,acongested
Mcc,75,216491.9948,acongested
Mcc,76,222512.807,acongested
Mcc,77,221077.8566,acongested
Mcc,78,220475.6054,acongested
Mcc,79,219851.4013,acongested
Mcc,80,222531.4943,acongested
Mcc,81,222662.584,acongested
Mcc,82,223378.2501,acongested
Mcc,83,225150.7346,acongested
Mcc,84,224108.8649,acongested
Mcc,85,225132.1195,acongested
Mcc,86,215233.9197,acongested
Mcc,87,220845.9992,acongested
Mcc,88,219674.6858,acongested
Mcc,89,219100.7292,acongested
Mcc,90,223465.0323,acongested
Mcc,91,219814.2766,acongested
Mcc,92,222523.0169,acongested
Mcc,93,217260.5297,acongested
Mcc,94,218873.6384,acongested
Mcc,95,223265.2342,acongested
Mcc,96,221848.6765,acongested
Mcc,97,226053.6477,acongested
Mcc,98,222611.2742,acongested
Mcc,99,219054.2733,acongested
Mcc,100,222444.5379,acongested
Mcc,101,214967.5645,acongested
Mcc,102,223750.2239,acongested
Mcc,103,222285.9266,acongested
Mcc,104,217465.8389,acongested
Mcc,105,221755.8951,acongested
Mcc,106,225075.3702,acongested
Mcc,107,223585.1659,acongested
Mcc,108,220925.2636,acongested
Mcc,109,222398.5876,acongested
Mcc,110,224643.6686,acongested
Mcc,111,221554.4846,acongested
Mcc,112,222610.2936,acongested
Mcc,113,225525.9037,acongested
Mcc,114,225239.1637,acongested
Mcc,115,224351.285,acongested
Mcc,116,216868.9974,acongested
Mcc,117,218714.0625,acongested
Mcc,118,224406.419,acongested
Mcc,119,221261.4266,acongested
Mcc,120,223935.3091,acongested
Mcc,121,219111.9842,acongested
Mcc,122,219745.3808,acongested
Mcc,123,218103.0963,acongested
Mcc,124,222833.8053,acongested
Mcc,125,221615.6285,acongested
Mcc,126,227024.478,acongested
Mcc,127,223220.2136,acongested
Mcc,128,218179.4678,acongested
Mcc,129,220476.5859,acongested
Mcc,130,219794.3016,acongested
Mcc,131,225068.8852,acongested
Mcc,132,221682.2411,acongested
Mcc,133,222929.3456,acongested
Mcc,134,224813.2893,acongested
Mcc,135,216053.2821,acongested
Mcc,136,222836.2164,acongested
Mcc,137,219864.5249,acongested
