hours,Mcc,R1,R2
1.0,9.940413548276489,11.99999999997417,10.991356495182616
2.0,9.940413546217357,10.510000000009148,10.8780499998424
3.0,8.181574916521505,8.589999999992477,9.919999999988555
4.0,7.2118858992661625,7.6299999999868655,9.069999999988953
5.0,6.949933923118395,7.319999999982422,9.069999999885994
6.0,7.149487447009641,7.629999999311674,9.069999999986862
7.0,9.940413548048355,11.594149999944525,11.134999999962108
8.0,12.515922601216545,12.950000023524108,12.15709700087393
9.0,13.480533970357936,13.869999999987847,12.902787870648684
10.0,13.480533975258247,13.98114999997116,12.961249999992797
11.0,13.480533977008655,14.07499999329134,12.961249999996204
12.0,13.480533977647413,14.00750000044441,12.951824661317907
13.0,13.480533980642806,14.219849999933581,13.033532968812873
14.0,13.48053398301143,14.34999999998804,13.0434415309455
15.0,13.480533979121708,14.079999999965908,13.019444500114057
16.0,13.48053397884885,14.074999999987469,12.961249999997385
17.0,13.75218398416026,14.687999999980459,13.390000000020523
18.0,13.845515620497505,14.829999999975263,13.503750000028733
19.0,13.824661643375048,14.829999999844347,13.471999999982089
20.0,13.480533980962218,14.349999933603522,13.077499999937421
21.0,13.480533975289562,13.5849999999674,12.909999999986569
22.0,13.12491378485067,12.95000002353389,12.713590160151506
23.0,11.88714429830289,11.950000023535715,11.798749999963805
24.0,9.430152585757217,9.920000000012362,10.868749999984523
