hours,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.0,0.0,0.0,0.0,0.0,0.0,153.06575229302774,153.06575295079682,0.0,0.0,0.0,288.7005830978302,204.08760021931707
5.0,0.0,0.0,0.0,0.0,0.0,160.9242879529562,160.92428864375745,0.0,0.0,0.0,303.5228935998101,214.5656437930784
6.0,0.0,0.0,0.0,0.0,0.0,154.9377690104357,154.93776968258814,0.0,0.0,0.0,292.2318441201109,206.58362048410623
7.0,0.0,0.0,0.0,0.0,0.0,71.21034891912318,71.2103492561773,0.0,0.0,0.0,134.31340424614163,94.9470928548671
8.0,6.634354029136559,1.6586051396587806,0.0,0.0,0.0,32.00864563141296,32.008645635536844,0.0,0.0,0.0,64.017293841391,42.67819505471959
9.0,8.441574262324226,2.110351090518781,0.0,0.0,0.0,15.674687198099479,15.674687205618248,0.0,0.0,0.0,31.3493766361171,20.899583715607516
10.0,8.441656678144417,2.110339559442825,0.0,0.0,0.0,15.67476834664184,15.674768354314367,0.0,0.0,0.0,31.349538960202445,20.899691924141358
11.0,8.441581803583347,2.1104038837382766,0.0,0.0,0.0,15.674690678413363,15.674690685714813,0.0,0.0,0.0,31.349383610549143,20.89958836138683
12.0,8.441577454411554,2.110408681297702,0.0,0.0,0.0,15.67468997635044,15.674689983706962,0.0,0.0,0.0,31.349382204998044,20.89958742488517
