hours,S1,S2,S3
4.0,-68.42105262707184,-68.42105262713517,-68.42105262708952
5.0,-68.42105262710356,-68.42105262716512,-68.42105262712076
6.0,-68.4210526270796,-68.42105262714242,-68.42105262709708
7.0,-2.398191632835278e-6,-6.019713467377954,-3.211338871267344e-6
8.0,9.921414800828643e-9,9.961077296338772e-9,9.93392035297802e-9
9.0,9.801279333032653e-6,51.65786297342662,6.558047161320246e-6
10.0,61.74999335529253,-28.276046321023045,51.05648167068769
11.0,61.749996884445,-23.381811675874133,61.74999202976522
12.0,61.74998780379275,42.143559974163566,-1.8228012657413544
