hours,res10,res20,res30,res40,res50,res60
1.0,0.44299000336747757,2.401147903437776,5.179798148950192,83.29821955646408,423.1067222782036,2194.152379923545
2.0,0.44299335081953567,2.3880545880251702,11.325630781841033,129.53590287346117,526.4455424798128,2194.1523866328243
3.0,0.5987439159205864,2.0113067086709013,16.785724082528677,173.64189664448747,626.3900218332499,2385.5815669817243
4.0,0.502532651920735,2.011594240176932,15.735610874106978,161.13568485476995,1543.7057817114237,2784.593451040276
5.0,0.5025363024949385,2.011663264139631,15.102338227829224,155.7516019517373,1597.0369335546725,2919.9725365142685
6.0,0.5115859265776702,2.011532911181597,14.912830809625142,155.41659736487554,1556.409557288215,2845.333343681314
7.0,0.44300062354327496,1.7712803549245684,5.688766290760633,82.19050986509889,414.4930521257836,2194.1523458969978
8.0,0.44301441762613974,1.7713891675729783,4.712067206333213,67.12902077467439,309.5475122108934,700.7572531185114
9.0,0.4430222134009307,1.771438238705138,3.984279247528987,18.22970740059247,216.76032376044984,575.3109082388885
10.0,0.4430208758829324,1.7714332337098304,3.984265779709149,17.20233971377309,213.8217078299238,569.1315387124027
11.0,0.44302171914079613,1.7714325316113841,3.984262123323401,16.780948396821408,211.20969288371592,569.0588246685842
12.0,0.4430214977759843,1.771437636514935,3.984277553765685,18.10947560715947,217.8694194271602,572.9820086811691
13.0,0.4430217302463494,1.771433263886692,3.9842559214503788,15.625107496582391,198.5582021164772,547.9323711890441
14.0,0.44302193185661903,1.771432211806938,3.9842505460181257,15.088499847156442,193.80534250314938,540.9412364795901
15.0,0.44302269783348575,1.7714454104299564,3.984298728073947,19.77251481637096,222.61418579694853,576.0408995153657
16.0,0.4430232278763651,1.771445743108341,3.984300688429069,20.047890755125866,224.08771616525001,579.3944927358503
17.0,0.44302573558054553,1.7714636635753898,3.9843441189947444,13.53109422626206,175.3164420410972,513.7658621577713
18.0,0.4430263561844345,1.7714693495776372,3.9843601047254817,12.849290490365917,163.57411118582783,494.38279956838153
19.0,0.44302717967332833,1.7714689603571456,3.9843582078849265,12.964594520168388,165.8542291478308,498.93248086563005
20.0,0.4430229006837963,1.7714351569661377,3.9842563795848527,16.178666904497,206.01564539022544,561.5155629978058
21.0,0.44302240351476624,1.7714607096029675,4.209208966293366,37.50750786847626,264.12554746538774,632.1235656854504
22.0,0.4430163867241799,1.771446699777659,6.4441453729601115,113.02478493269848,358.0915604146984,743.3032261897812
23.0,0.4430052938146994,1.7713596144681956,12.683584783158523,173.96870259152234,457.5341237622689,844.1583509978647
24.0,0.4430320630141772,2.460904130202718,14.365332696585824,158.68393959305723,467.5982093914672,3412.8652335616475
