hours,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.0,4.0673086826809614e-9,3.78178279740538e-9,3.569453660641381e-10,3.4341007982909265e-10,1.6936134148050564e-10,0.14735409141963082,0.1473540920528085,0.0,0.0,0.0,0.27792769758987923,0.19647205498153644
5.0,4.080157780342752e-9,3.798518447193636e-9,3.65475890380329e-10,3.5175353717240204e-10,1.7453025867442478e-10,0.1473540913863318,0.14735409201883762,0.0,0.0,0.0,0.2779278427777862,0.1964720545668733
6.0,4.041789142282578e-9,3.6432520914936187e-9,3.5850477511103186e-10,3.449537130665021e-10,1.7039892188131167e-10,0.14735409132197574,0.14735409196118116,0.0,0.0,0.0,0.2779280876487136,0.19647205373380466
7.0,3.307379979361495e-9,1.4976854659361221e-9,2.4118605684366846e-10,2.3105001016146187e-10,1.0621673195130424e-10,0.14735409033464592,0.14735409103185437,0.0,0.0,0.0,0.2779319270692616,0.1964720396664013
8.0,0.03054172467766358,0.007635507737580881,1.6480948327023648e-10,1.5580912394514098e-10,5.915300163140029e-11,0.14735409625370272,0.14735409627195517,0.0,0.0,0.0,0.2947082043746657,0.1964721323848896
9.0,0.07935727431037906,0.01983891927847184,1.190399724927447e-10,1.1177831441889415e-10,3.869668360137586e-11,0.14735408504292322,0.14735408511182524,0.0,0.0,0.0,0.29470819113427776,0.19647212076268514
10.0,0.07935763806193692,0.01983870812612194,1.175369785704614e-10,1.10344776506049e-10,3.820257380295476e-11,0.14735408470426398,0.14735408477470452,0.0,0.0,0.0,0.2947081907112017,0.1964721204099468
11.0,0.07935732749156757,0.01983941114724718,1.1825567877733857e-10,1.1101071964439159e-10,3.8435814044613346e-11,0.14735408487145296,0.14735408493846539,0.0,0.0,0.0,0.2947081909219241,0.1964721205849993
12.0,0.07935729017273851,0.01983945713970036,1.1836230203010024e-10,1.1110715449060647e-10,3.846906042490695e-11,0.14735408489453614,0.14735408496205865,0.0,0.0,0.0,0.294708190954679,0.19647212061184063
