hours,S1,S2,S3
4.0,1.7187004071026295e-12,1.479753740161281e-12,1.6514379452334964e-12
5.0,1.7470905217593058e-12,1.504912379408652e-12,1.6788668310237284e-12
6.0,1.7265185252848768e-12,1.4855196213356235e-12,1.6582753426339185e-12
7.0,5.416554433248553e-13,4.398997142451621e-13,5.115947018229817e-13
8.0,8.495746032277265e-14,1.732398287513492e-14,6.764638632296053e-14
9.0,-7.726866104927616e-14,-8.5825316754798e-14,-7.642451810765481e-14
10.0,-6.01919249518913e-14,-1.0187323142559344e-13,-6.950159130565728e-14
11.0,-3.248892382898944e-14,-6.555180233459634e-14,-4.2775762657295284e-14
12.0,-6.458243400721382e-14,-1.0093280733790367e-13,-7.326515654399563e-14
